timestamps,delta_times,weight_values,torque,blower_speed1,blower_speed2,blower_speedA,blower_speedB,blower_speedC,blower_speedD,auger_speed,auger_cmd_speed,combustor_temp,date,raw material,raw material v2
2023-02-02 10:34:49,0.0,0.05,0.045,1200.0,1200.0,1190.499756,1190.499756,0.0,0.0,-1.79,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:34:51,0.03333333333333333,0.0,0.045,1200.0,1200.0,1190.511597,1190.511597,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:34:53,0.06666666666666667,0.0,0.045,1200.0,1200.0,1190.488037,1190.488037,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:34:55,0.1,0.0,0.045,1200.0,1200.0,1190.499756,1190.499756,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:34:57,0.13333333333333333,0.0,0.045,1200.0,1200.0,1190.511597,1190.511597,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:34:59,0.16666666666666666,0.0,0.06,1200.0,1200.0,1190.476196,1190.476196,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:01,0.2,0.0,0.045,1200.0,1200.0,1190.476196,1190.476196,0.0,0.0,-1.79,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:03,0.23333333333333334,0.0,0.06,1200.0,1200.0,1190.558838,1190.783447,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:05,0.26666666666666666,0.0,0.045,1200.0,1200.0,1190.476196,1190.476196,0.0,0.0,-1.79,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:07,0.3,-0.05,0.045,1200.0,1200.0,1190.476196,1190.476196,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:09,0.3333333333333333,0.0,0.045,1200.0,1200.0,1190.488037,1190.488037,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:11,0.36666666666666664,0.0,0.045,1200.0,1200.0,1190.488037,1190.488037,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:13,0.4,0.05,0.045,1200.0,1200.0,1190.488037,1190.488037,297.622009,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:15,0.43333333333333335,0.0,0.06,1200.0,1200.0,1190.452515,1190.452515,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:17,0.4666666666666667,0.05,0.045,1200.0,1200.0,1190.464355,1190.464355,0.0,0.0,-1.79,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:19,0.5,0.05,0.045,1200.0,1200.0,1190.523438,1190.511597,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:21,0.5333333333333333,0.05,0.06,1200.0,1200.0,1190.58252,1190.795166,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:23,0.5666666666666667,0.1,0.045,1200.0,1200.0,1190.464355,1190.464355,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:25,0.6,0.25,0.045,1200.0,1200.0,1190.476196,1190.476196,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:27,0.6333333333333333,0.15,0.045,1200.0,1200.0,1190.511597,1190.523438,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:29,0.6666666666666666,0.1,0.06,1200.0,1200.0,4464.152832,1190.440796,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:31,0.7,0.1,0.06,1200.0,1200.0,4761.857422,1190.464355,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:33,0.7333333333333333,0.1,0.06,1200.0,1200.0,5059.523438,1190.476196,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:35,0.7666666666666667,0.15,0.06,1200.0,1200.0,5059.473633,1190.464355,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:37,0.8,0.0,0.06,1200.0,1200.0,5059.473633,1190.464355,0.0,0.0,-1.805,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:39,0.8333333333333334,0.0,0.06,1200.0,1200.0,4761.479492,1190.14563,0.0,0.0,-1.82,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:41,0.8666666666666667,0.0,0.06,1200.0,1200.0,5059.473633,1190.464355,0.0,0.0,-1.82,0.0,4.678013,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:43,0.9,0.1,0.06,1200.0,1200.0,5059.925781,1190.795166,0.0,0.0,-1.82,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
2023-02-02 10:35:45,0.9333333333333333,-0.1,0.045,1200.0,1200.0,5059.624512,1190.499756,0.0,0.0,-1.805,0.0,4.234758,02/02/23,Woodchips Cloverdale,Wood
