timestamps,delta_times,weight_values,torque,blower_speed1,blower_speed2,blower_speedA,blower_speedB,blower_speedC,blower_speedD,auger_speed,auger_cmd_speed,combustor_temp,date,raw material,raw material v2
2022-05-04 12:32:35,0.0,,0.115,1300.0,1300.0,1488.213379,1488.479126,1488.183838,0.0,-1.79,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:37,0.03333333333333333,,0.1,1300.0,1300.0,1190.464355,1488.080566,1488.095337,0.0,-1.79,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:39,0.06666666666666667,,0.115,1300.0,1300.0,1488.110107,1190.488037,1488.095337,0.0,-1.79,0.0,38.808258,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:41,0.1,,0.115,1300.0,1300.0,1488.124756,1488.124756,1488.124756,0.0,-1.79,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:43,0.13333333333333333,,0.115,1300.0,1300.0,1488.080566,1488.080566,1488.095337,0.0,-1.79,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:45,0.16666666666666666,,0.115,1300.0,1300.0,1488.036255,1488.036255,1488.036255,0.0,-1.79,0.0,38.808258,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:47,0.2,,0.115,1300.0,1300.0,1488.110107,1488.110107,1488.124756,0.0,-1.79,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:49,0.23333333333333334,,0.1,1300.0,1300.0,1190.452515,1488.065796,1190.464355,0.0,-1.805,0.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:51,0.26666666666666666,,0.1,1300.0,1300.0,1488.080566,1488.080566,1488.095337,0.0,-1.79,10.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:53,0.3,,4.305,1300.0,1300.0,1190.358154,1190.133789,1190.381714,0.0,-1.79,10.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:55,0.3333333333333333,,4.29,1300.0,1300.0,1190.488037,1488.110107,1190.488037,0.0,-1.79,10.0,38.808258,04/05/22,Rice Hulls large chimney,Rice-based
2022-05-04 12:32:57,0.36666666666666664,,4.32,1300.0,1300.0,1488.095337,1488.110107,1190.488037,0.0,-1.79,10.0,39.251511,04/05/22,Rice Hulls large chimney,Rice-based
