timestamps,delta_times,weight_values,torque,blower_speed1,blower_speed2,blower_speedA,blower_speedB,blower_speedC,blower_speedD,auger_speed,auger_cmd_speed,combustor_temp,date,raw material,raw material v2
2022-06-06 14:11:28,0.0,-0.1,0.075,1300.0,1300.0,1488.110107,1190.488037,0.0,1488.110107,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:30,0.03333333333333333,-0.1,0.075,1300.0,1300.0,1488.095337,1190.464355,0.0,1488.095337,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:32,0.06666666666666667,-0.1,0.075,1300.0,1300.0,1190.476196,1488.095337,0.0,1488.095337,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:34,0.1,-0.15,0.075,1300.0,1300.0,1190.452515,1488.110107,0.0,1488.080566,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:36,0.13333333333333333,-0.15,0.075,1300.0,1300.0,1488.095337,1488.110107,0.0,1488.124756,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:38,0.16666666666666666,-0.15,0.06,1300.0,1300.0,1190.464355,1190.488037,0.0,1488.080566,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:40,0.2,-0.15,0.075,1300.0,1300.0,1488.139526,1190.724243,0.0,1488.124756,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:42,0.23333333333333334,-0.1,0.075,1300.0,1300.0,1488.110107,1488.110107,0.0,1190.488037,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:44,0.26666666666666666,-0.1,0.075,1300.0,1300.0,1488.095337,1190.511597,0.0,1488.095337,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:46,0.3,-0.15,0.06,1300.0,1300.0,1189.555664,1486.929932,0.0,1488.124756,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:48,0.3333333333333333,-0.3,0.075,1300.0,1300.0,1190.440796,1190.228271,0.0,1488.051025,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:50,0.36666666666666664,-0.2,0.075,1300.0,1300.0,1488.051025,1488.051025,0.0,1190.452515,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:52,0.4,-0.2,0.075,1300.0,1300.0,1488.124756,1489.410278,0.0,1488.110107,-1.805,0.0,30.386522,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:54,0.43333333333333335,-0.1,0.075,1300.0,1300.0,1190.511597,1190.511597,0.0,1488.139526,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:56,0.4666666666666667,-0.1,0.06,1300.0,1300.0,1488.080566,1190.452515,0.0,1190.452515,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
2022-06-06 14:11:58,0.5,-0.15,0.075,1300.0,1300.0,1488.095337,1190.511597,0.0,1488.095337,-1.805,0.0,29.943266,06/06/22,Straw Mulch,Rice-based
