timestamps,delta_times,weight_values,torque,blower_speed1,blower_speed2,blower_speedA,blower_speedB,blower_speedC,blower_speedD,auger_speed,auger_cmd_speed,combustor_temp,date,raw material,raw material v2
2022-02-16 13:38:49,0.0,0.0,0.075,1300.0,1300.0,1190.476196,1190.476196,1488.095337,1488.095337,-12.5,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:38:51,0.03333333333333333,0.0,0.085,1300.0,1300.0,1488.124756,1488.124756,1488.110107,1488.110107,-12.5,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:38:53,0.06666666666666667,0.0,0.075,1300.0,1300.0,1488.095337,1488.095337,1488.110107,1488.095337,-12.489999,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:38:55,0.1,0.0,0.075,1300.0,1300.0,1488.095337,1488.375732,1190.488037,1488.095337,-12.5,0.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:38:57,0.13333333333333333,0.0,0.075,1300.0,1300.0,1488.110107,1190.488037,1488.095337,1190.488037,-12.5,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:38:59,0.16666666666666666,0.0,0.075,1300.0,1300.0,1488.065796,1488.065796,1488.065796,1488.065796,-12.489999,0.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:01,0.2,0.0,0.085,1300.0,1300.0,1488.080566,1488.080566,1190.464355,1190.464355,-12.489999,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:03,0.23333333333333334,0.0,0.075,1300.0,1300.0,1488.169067,1190.747925,1488.154297,1488.169067,-12.489999,0.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:05,0.26666666666666666,0.0,2.965,1300.0,1300.0,1488.080566,1488.080566,1488.080566,1190.464355,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:07,0.3,0.0,3.195,1300.0,1300.0,1190.464355,1488.095337,1488.095337,1488.080566,-12.5,6.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:09,0.3333333333333333,0.0,3.08,1300.0,1300.0,1190.499756,1488.124756,1190.488037,1190.499756,-12.5,6.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:11,0.36666666666666664,0.0,3.02,1300.0,1300.0,1488.110107,1488.095337,1190.476196,1190.488037,-12.5,6.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:13,0.4,0.0,2.995,1300.0,1300.0,1488.110107,1488.110107,1488.110107,1488.110107,-12.5,6.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:15,0.43333333333333335,0.0,3.25,1300.0,1300.0,1488.051025,1488.051025,1190.452515,1190.440796,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:17,0.4666666666666667,0.0,3.22,1300.0,1300.0,1488.139526,1190.511597,1190.499756,1488.139526,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:19,0.5,0.0,3.75,1300.0,1300.0,1488.124756,1488.124756,1488.124756,1190.499756,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:21,0.5333333333333333,0.0,3.96,1300.0,1300.0,1488.124756,1190.499756,1488.110107,1488.124756,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:23,0.5666666666666667,0.0,4.99,1300.0,1300.0,1488.095337,1488.065796,1488.095337,1190.476196,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:25,0.6,0.0,4.145,1300.0,1300.0,1190.488037,1190.488037,1488.110107,1488.110107,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:27,0.6333333333333333,0.0,4.12,1300.0,1300.0,1190.476196,1488.080566,1190.464355,1190.476196,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:29,0.6666666666666666,0.0,4.035,1300.0,1300.0,1488.095337,1190.452515,1488.080566,1488.095337,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:31,0.7,0.0,3.86,1300.0,1300.0,1190.393433,1487.726196,1488.006714,1488.006714,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:33,0.7333333333333333,0.0,3.565,1300.0,1300.0,1190.476196,1488.095337,1488.095337,1190.476196,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:35,0.7666666666666667,0.0,3.405,1300.0,1300.0,1488.051025,1488.051025,1488.051025,1488.051025,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:37,0.8,0.0,3.38,1300.0,1300.0,1488.110107,1488.110107,1488.095337,1190.488037,-12.489999,6.0,22.703512,16/02/22,Wood Chips,Wood
2022-02-16 13:39:39,0.8333333333333334,0.0,3.55,1300.0,1300.0,1488.110107,1190.499756,1488.110107,1488.110107,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:41,0.8666666666666667,0.0,3.45,1300.0,1300.0,1488.124756,1488.124756,1488.110107,1190.488037,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:43,0.9,0.0,3.505,1300.0,1300.0,1190.488037,1190.440796,1488.110107,1190.488037,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:45,0.9333333333333333,0.0,3.72,1300.0,1300.0,1488.24292,1488.508789,1190.58252,1190.59436,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:47,0.9666666666666667,0.0,4.245,1300.0,1300.0,1488.110107,1190.476196,1190.488037,1488.110107,-12.489999,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:39:49,1.0,0.0,4.49,1300.0,1300.0,1488.124756,1488.124756,1488.124756,1190.499756,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:51,1.0333333333333334,0.0,4.86,1300.0,1300.0,1488.095337,1488.095337,1488.095337,1488.095337,-12.489999,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:53,1.0666666666666667,0.0,3.86,1300.0,1300.0,1190.535278,1488.434814,1488.154297,1488.169067,-12.5,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:39:55,1.1,0.0,3.96,1300.0,1300.0,1190.464355,1488.051025,1488.095337,1190.464355,-12.489999,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:39:57,1.1333333333333333,0.0,3.575,1300.0,1300.0,1488.124756,1488.124756,1488.124756,1488.124756,-12.5,6.0,22.407999,16/02/22,Wood Chips,Wood
2022-02-16 13:39:59,1.1666666666666667,0.0,3.505,1300.0,1300.0,1190.488037,1190.488037,1488.110107,1488.110107,-12.489999,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:40:01,1.2,0.0,3.735,1300.0,1300.0,1190.440796,1488.051025,1488.065796,1488.051025,-12.489999,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:40:03,1.2333333333333334,0.0,3.665,1300.0,1300.0,1488.080566,1488.080566,1190.464355,1488.065796,-12.5,6.0,21.964743,16/02/22,Wood Chips,Wood
2022-02-16 13:40:05,1.2666666666666666,0.0,3.665,1300.0,1300.0,1488.110107,1488.110107,1488.110107,1488.110107,-12.5,6.0,21.964743,16/02/22,Wood Chips,Wood
