Date, Time, uiBlowerAB_CmdSpd_rpm, uiBlowerCD_CmdSpd_rpm, fBlowerA_Speed_rpm, fBlowerB_Speed_rpm, fBlowerC_Speed_rpm, fBlowerD_Speed_rpm, fAugerCmdSpd_rpm, fAugerMtrTorq_A, fAugerActSpd_rpm, fPressureSensor1_inH2O, fPressureSensor2_inH2O, CombustorTemp, Weight
2/2/2023,10:34:49,1200,1200,1190.499756,1190.499756,0.0,0.0,0,0.045,-1.79,0.0,0.00225,4.234758, 'ASNG/W+  0.05  kg  
2/2/2023,10:34:51,1200,1200,1190.511597,1190.511597,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:34:53,1200,1200,1190.488037,1190.488037,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:34:55,1200,1200,1190.499756,1190.499756,0.0,0.0,0,0.045,-1.805,0.0,0.0045,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:34:57,1200,1200,1190.511597,1190.511597,0.0,0.0,0,0.045,-1.805,5e-05,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:34:59,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.06,-1.805,0.0,0.00225,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:01,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.045,-1.79,0.0,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:03,1200,1200,1190.558838,1190.783447,0.0,0.0,0,0.06,-1.805,5e-05,0.0045,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:05,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.045,-1.79,0.0,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:07,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'ASNG/W-  0.05  kg  
2/2/2023,10:35:09,1200,1200,1190.488037,1190.488037,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:11,1200,1200,1190.488037,1190.488037,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:13,1200,1200,1190.488037,1190.488037,297.622009,0.0,0,0.045,-1.805,0.0,0.0045,4.678013, 'AUNG/W+  0.05  kg  
2/2/2023,10:35:15,1200,1200,1190.452515,1190.452515,0.0,0.0,0,0.06,-1.805,5e-05,0.00225,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:17,1200,1200,1190.464355,1190.464355,0.0,0.0,0,0.045,-1.79,5e-05,0.00225,4.234758, 'AUNG/W+  0.05  kg  
2/2/2023,10:35:19,1200,1200,1190.523438,1190.511597,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.678013, 'AUNG/W+  0.05  kg  
2/2/2023,10:35:21,1200,1200,1190.58252,1190.795166,0.0,0.0,0,0.06,-1.805,5e-05,0.00225,4.678013, 'ASNG/W+  0.05  kg  
2/2/2023,10:35:23,1200,1200,1190.464355,1190.464355,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'AUNG/W+  0.10  kg  
2/2/2023,10:35:25,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.045,-1.805,5e-05,0.00225,4.678013, 'ASNG/W+  0.25  kg  
2/2/2023,10:35:27,1200,1200,1190.511597,1190.523438,0.0,0.0,0,0.045,-1.805,5e-05,0.00225,4.234758, 'AUNG/W+  0.15  kg  
2/2/2023,10:35:29,1200,1200,4464.152832,1190.440796,0.0,0.0,0,0.06,-1.805,0.0,0.00225,4.678013, 'AUNG/W+  0.10  kg  
2/2/2023,10:35:31,1200,1200,4761.857422,1190.464355,0.0,0.0,0,0.06,-1.805,0.0,0.0045,4.678013, 'ASNG/W+  0.10  kg  
2/2/2023,10:35:33,1200,1200,5059.523438,1190.476196,0.0,0.0,0,0.06,-1.805,5e-05,0.0045,4.678013, 'ASNG/W+  0.10  kg  
2/2/2023,10:35:35,1200,1200,5059.473633,1190.464355,0.0,0.0,0,0.06,-1.805,5e-05,0.00225,4.234758, 'ASNG/W+  0.15  kg  
2/2/2023,10:35:37,1200,1200,5059.473633,1190.464355,0.0,0.0,0,0.06,-1.805,5e-05,0.00225,4.678013, 'AUNG/W+  0.00  kg  
2/2/2023,10:35:39,1200,1200,4761.479492,1190.14563,0.0,0.0,0,0.06,-1.82,0.0,0.0045,4.234758, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:41,1200,1200,5059.473633,1190.464355,0.0,0.0,0,0.06,-1.82,0.0,0.00225,4.678013, 'ASNG/W+  0.00  kg  
2/2/2023,10:35:43,1200,1200,5059.925781,1190.795166,0.0,0.0,0,0.06,-1.82,0.0,0.0045,4.234758, 'AUNG/W+  0.10  kg  
2/2/2023,10:35:45,1200,1200,5059.624512,1190.499756,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:35:47,1200,1200,5059.323242,1190.428955,0.0,0.0,0,0.06,-1.805,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:35:49,1200,1200,4761.810059,1190.452515,0.0,0.0,0,0.06,-1.82,0.0,0.00225,4.678013, 'ASNG/W-  0.15  kg  
2/2/2023,10:35:51,1200,1200,5059.473633,1190.464355,0.0,0.0,0,0.06,-1.82,0.0,0.0045,4.234758, 'ASNG/W-  0.15  kg  
2/2/2023,10:35:53,1200,1200,4761.904785,1190.476196,0.0,0.0,0,0.045,-1.805,5e-05,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:35:55,1200,1200,0.0,1190.523438,0.0,0.0,0,0.045,-1.805,0.0,0.0045,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:35:57,1200,1200,0.0,1190.452515,0.0,0.0,0,0.045,-1.79,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:35:59,1200,1200,0.0,1190.488037,0.0,0.0,0,0.045,-1.79,5e-05,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:01,1200,1200,0.0,1190.452515,0.0,0.0,0,0.045,-1.805,0.0,0.00225,4.678013, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:03,1200,1200,1785.767456,1190.511597,0.0,0.0,0,0.06,-1.805,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:05,1200,1200,1488.080566,1190.464355,0.0,0.0,0,0.045,-1.79,5e-05,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:07,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.06,-1.79,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:09,1200,1200,1190.523438,1190.523438,0.0,0.0,0,0.045,-1.79,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:11,1200,1200,1190.523438,1190.535278,0.0,0.0,0,0.045,-1.805,0.0,0.0045,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:13,1200,1200,1190.369873,1190.14563,0.0,0.0,0,0.06,-1.805,0.0,0.00225,4.678013, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:15,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.045,-1.79,5e-05,0.00225,4.234758, 'ASNG/W-  0.10  kg  
2/2/2023,10:36:17,1200,1200,1190.476196,1190.476196,0.0,0.0,0,0.06,-1.79,0.0,0.00225,4.234758, 'ASNG/W-  0.10  kg  
