timestamps,delta_times,weight_values,torque,blower_speed1,blower_speed2,blower_speedA,blower_speedB,blower_speedC,blower_speedD,auger_speed,auger_cmd_speed,combustor_temp,date,raw material,raw material v2
2022-05-23 11:14:04,0.0,0.05,0.06,1300.0,1300.0,1488.095337,1190.476196,1488.110107,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:06,0.03333333333333333,0.0,0.075,1300.0,1300.0,1190.499756,1488.124756,1190.499756,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:08,0.06666666666666667,0.05,0.06,1300.0,1300.0,1488.110107,1488.110107,1190.476196,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:10,0.1,0.0,0.075,1300.0,1300.0,1488.110107,1488.110107,1190.488037,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:12,0.13333333333333333,0.0,0.06,1300.0,1300.0,1488.095337,1190.476196,1488.095337,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:14,0.16666666666666666,0.0,0.06,1300.0,1300.0,1488.095337,1488.095337,1488.095337,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:16,0.2,0.0,0.075,1300.0,1300.0,1488.124756,1488.124756,1190.499756,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:18,0.23333333333333334,0.0,0.06,1300.0,1300.0,1488.051025,1190.440796,1190.452515,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:20,0.26666666666666666,0.0,0.06,1300.0,1300.0,1190.452515,1488.065796,1190.464355,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:22,0.3,0.0,0.075,1300.0,1300.0,1190.440796,1488.051025,1190.452515,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:24,0.3333333333333333,0.0,0.06,1300.0,1300.0,1488.095337,1488.095337,1190.476196,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:26,0.36666666666666664,0.0,0.075,1300.0,1300.0,1488.228149,1488.508789,1190.558838,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:28,0.4,0.0,0.06,1300.0,1300.0,1488.065796,1190.452515,1190.464355,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:30,0.43333333333333335,0.0,0.075,1300.0,1300.0,1488.169067,1190.747925,1190.523438,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:32,0.4666666666666667,0.0,0.06,1300.0,1300.0,1488.139526,1488.139526,1488.139526,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:34,0.5,0.05,0.06,1300.0,1300.0,1488.095337,1488.095337,1190.476196,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:36,0.5333333333333333,0.05,0.06,1300.0,1300.0,1190.476196,1190.476196,1190.476196,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:38,0.5666666666666667,0.0,0.075,1300.0,1300.0,1190.488037,1190.488037,1488.110107,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:40,0.6,0.0,0.075,1300.0,1300.0,1190.440796,1488.051025,1190.440796,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:42,0.6333333333333333,0.0,0.06,1300.0,1300.0,1488.124756,1190.499756,1190.499756,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:44,0.6666666666666666,0.0,0.075,1300.0,1300.0,1190.476196,1488.095337,1190.476196,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:46,0.7,0.0,0.075,1300.0,1300.0,1488.065796,1488.065796,1190.452515,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:48,0.7333333333333333,0.0,0.06,1300.0,1300.0,1488.080566,1488.080566,1190.464355,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:50,0.7666666666666667,0.0,0.075,1300.0,1300.0,1488.065796,1488.065796,1190.452515,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:52,0.8,0.05,0.06,1300.0,1300.0,1488.139526,1488.139526,1488.139526,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:54,0.8333333333333334,0.0,0.075,1300.0,1300.0,1190.499756,1488.124756,1488.124756,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:56,0.8666666666666667,0.0,0.06,1300.0,1300.0,1190.464355,1190.464355,1190.464355,0.0,-1.805,0.0,37.035248,23/05/22,Rice Straw,Rice-based
2022-05-23 11:14:58,0.9,0.0,0.075,1300.0,1300.0,1488.124756,1488.124756,1190.499756,0.0,-1.805,0.0,37.4785,23/05/22,Rice Straw,Rice-based
2022-05-23 11:15:00,0.9333333333333333,-0.05,0.075,1300.0,1300.0,1488.110107,1190.476196,1190.476196,0.0,-1.82,0.0,37.035248,23/05/22,Rice Straw,Rice-based
